# iteration,loss
1.000000000000000000e+00,3.683279418945312500e+02
2.000000000000000000e+00,3.677325439453125000e+02
3.000000000000000000e+00,3.677293090820312500e+02
4.000000000000000000e+00,3.677293701171875000e+02
5.000000000000000000e+00,3.677294311523437500e+02
6.000000000000000000e+00,3.677294006347656250e+02
7.000000000000000000e+00,3.677295837402343750e+02
8.000000000000000000e+00,3.677293395996093750e+02
9.000000000000000000e+00,3.677292785644531250e+02
1.000000000000000000e+01,3.677291870117187500e+02
1.100000000000000000e+01,3.677294311523437500e+02
1.200000000000000000e+01,3.677292175292968750e+02
1.300000000000000000e+01,3.677292175292968750e+02
1.400000000000000000e+01,3.677292785644531250e+02
1.500000000000000000e+01,3.677294311523437500e+02
1.600000000000000000e+01,3.677293090820312500e+02
1.700000000000000000e+01,3.677292785644531250e+02
1.800000000000000000e+01,3.677291870117187500e+02
1.900000000000000000e+01,3.677292785644531250e+02
2.000000000000000000e+01,3.677294311523437500e+02
2.100000000000000000e+01,3.677291870117187500e+02
2.200000000000000000e+01,3.677294311523437500e+02
2.300000000000000000e+01,3.677292175292968750e+02
2.400000000000000000e+01,3.677295532226562500e+02
2.500000000000000000e+01,3.677293701171875000e+02
2.600000000000000000e+01,3.677293395996093750e+02
2.700000000000000000e+01,3.677294616699218750e+02
2.800000000000000000e+01,3.677294006347656250e+02
2.900000000000000000e+01,3.677293395996093750e+02
3.000000000000000000e+01,3.677292785644531250e+02
3.100000000000000000e+01,3.677295532226562500e+02
3.200000000000000000e+01,3.677292785644531250e+02
3.300000000000000000e+01,3.677292480468750000e+02
3.400000000000000000e+01,3.677291870117187500e+02
3.500000000000000000e+01,3.677291259765625000e+02
3.600000000000000000e+01,3.677293701171875000e+02
3.700000000000000000e+01,3.677292785644531250e+02
3.800000000000000000e+01,3.677293701171875000e+02
3.900000000000000000e+01,3.677293090820312500e+02
4.000000000000000000e+01,3.677293395996093750e+02
4.100000000000000000e+01,3.677292480468750000e+02
4.200000000000000000e+01,3.677291564941406250e+02
4.300000000000000000e+01,3.677293090820312500e+02
4.400000000000000000e+01,3.677293395996093750e+02
4.500000000000000000e+01,3.677292480468750000e+02
4.600000000000000000e+01,3.677292480468750000e+02
4.700000000000000000e+01,3.677291870117187500e+02
4.800000000000000000e+01,3.677292175292968750e+02
4.900000000000000000e+01,3.677292480468750000e+02
5.000000000000000000e+01,3.677292175292968750e+02
5.100000000000000000e+01,3.677291259765625000e+02
5.200000000000000000e+01,3.677294921875000000e+02
5.300000000000000000e+01,3.677293701171875000e+02
5.400000000000000000e+01,3.677294006347656250e+02
5.500000000000000000e+01,3.677291564941406250e+02
5.600000000000000000e+01,3.677292480468750000e+02
5.700000000000000000e+01,3.677292175292968750e+02
5.800000000000000000e+01,3.677294311523437500e+02
5.900000000000000000e+01,3.677293701171875000e+02
6.000000000000000000e+01,3.677293701171875000e+02
6.100000000000000000e+01,3.677294006347656250e+02
6.200000000000000000e+01,3.677293395996093750e+02
6.300000000000000000e+01,3.677293090820312500e+02
6.400000000000000000e+01,3.677292175292968750e+02
6.500000000000000000e+01,3.677292785644531250e+02
6.600000000000000000e+01,3.677293395996093750e+02
6.700000000000000000e+01,3.677293395996093750e+02
6.800000000000000000e+01,3.677291564941406250e+02
6.900000000000000000e+01,3.677294006347656250e+02
7.000000000000000000e+01,3.677293701171875000e+02
7.100000000000000000e+01,3.677292175292968750e+02
7.200000000000000000e+01,3.677294921875000000e+02
7.300000000000000000e+01,3.677294921875000000e+02
7.400000000000000000e+01,3.677290954589843750e+02
7.500000000000000000e+01,3.677292785644531250e+02
7.600000000000000000e+01,3.677294006347656250e+02
7.700000000000000000e+01,3.677293395996093750e+02
7.800000000000000000e+01,3.677293395996093750e+02
7.900000000000000000e+01,3.677293701171875000e+02
8.000000000000000000e+01,3.677292785644531250e+02
8.100000000000000000e+01,3.677294616699218750e+02
8.200000000000000000e+01,3.677292785644531250e+02
8.300000000000000000e+01,3.677292480468750000e+02
8.400000000000000000e+01,3.677294311523437500e+02
8.500000000000000000e+01,3.677292785644531250e+02
8.600000000000000000e+01,3.677292785644531250e+02
8.700000000000000000e+01,3.677293701171875000e+02
8.800000000000000000e+01,3.677292785644531250e+02
8.900000000000000000e+01,3.677293395996093750e+02
9.000000000000000000e+01,3.677293701171875000e+02
9.100000000000000000e+01,3.677293090820312500e+02
9.200000000000000000e+01,3.677293090820312500e+02
9.300000000000000000e+01,3.677293701171875000e+02
9.400000000000000000e+01,3.677292785644531250e+02
9.500000000000000000e+01,3.677294616699218750e+02
9.600000000000000000e+01,3.677293395996093750e+02
9.700000000000000000e+01,3.677292175292968750e+02
9.800000000000000000e+01,3.677293395996093750e+02
9.900000000000000000e+01,3.677291564941406250e+02
1.000000000000000000e+02,3.677291870117187500e+02
