# iteration,loss
1.000000000000000000e+00,2.669518244836346526e+02
2.000000000000000000e+00,2.478002411259415965e+02
3.000000000000000000e+00,2.299592814190395131e+02
4.000000000000000000e+00,2.134752958091019650e+02
5.000000000000000000e+00,1.995194606914998587e+02
6.000000000000000000e+00,1.865573698904244111e+02
7.000000000000000000e+00,1.739788113029933072e+02
8.000000000000000000e+00,1.625112488406120406e+02
9.000000000000000000e+00,1.514322251932360643e+02
1.000000000000000000e+01,1.415897236757741382e+02
1.100000000000000000e+01,1.321260099073524259e+02
1.200000000000000000e+01,1.245521237685519793e+02
1.300000000000000000e+01,1.165599921523173066e+02
1.400000000000000000e+01,1.100977221336134022e+02
1.500000000000000000e+01,1.037772133749818977e+02
1.600000000000000000e+01,9.872192341388944214e+01
1.700000000000000000e+01,9.319183952432182139e+01
1.800000000000000000e+01,8.810580806606294857e+01
1.900000000000000000e+01,8.409250389407044679e+01
2.000000000000000000e+01,7.975913674446188395e+01
2.100000000000000000e+01,7.637292513805611804e+01
2.200000000000000000e+01,7.199287184353212865e+01
2.300000000000000000e+01,6.925089870230128497e+01
2.400000000000000000e+01,6.557218362936305311e+01
2.500000000000000000e+01,6.294679436026634534e+01
2.600000000000000000e+01,6.015511832805052705e+01
2.700000000000000000e+01,5.752435031090250561e+01
2.800000000000000000e+01,5.540164670665330249e+01
2.900000000000000000e+01,5.315731514926917356e+01
3.000000000000000000e+01,5.079220107995297440e+01
3.100000000000000000e+01,4.891270220714650208e+01
3.200000000000000000e+01,4.725715769002509603e+01
3.300000000000000000e+01,4.540475127042503090e+01
3.400000000000000000e+01,4.359193134124377167e+01
3.500000000000000000e+01,4.218742861866900995e+01
3.600000000000000000e+01,4.079304969647044743e+01
3.700000000000000000e+01,3.935000749115538810e+01
3.800000000000000000e+01,3.803217371626212184e+01
3.900000000000000000e+01,3.696559670427623701e+01
4.000000000000000000e+01,3.573477767953083628e+01
4.100000000000000000e+01,3.486899338573131502e+01
4.200000000000000000e+01,3.365343503622075616e+01
4.300000000000000000e+01,3.259614952196508142e+01
4.400000000000000000e+01,3.156424335650825697e+01
4.500000000000000000e+01,3.075577272699574749e+01
4.600000000000000000e+01,3.003157188188387039e+01
4.700000000000000000e+01,2.906396279732863874e+01
4.800000000000000000e+01,2.814775092425892922e+01
4.900000000000000000e+01,2.733435516290904488e+01
5.000000000000000000e+01,2.666659975740398636e+01
5.100000000000000000e+01,2.593624164641250474e+01
5.200000000000000000e+01,2.516303704717817524e+01
5.300000000000000000e+01,2.476017558581972011e+01
5.400000000000000000e+01,2.393080215483588802e+01
5.500000000000000000e+01,2.342852208712964313e+01
5.600000000000000000e+01,2.287122345710203319e+01
5.700000000000000000e+01,2.216596036007877402e+01
5.800000000000000000e+01,2.151682371760222168e+01
5.900000000000000000e+01,2.109426077550136114e+01
6.000000000000000000e+01,2.058716013939235978e+01
6.100000000000000000e+01,2.003113062389762078e+01
6.200000000000000000e+01,1.945176887062658722e+01
6.300000000000000000e+01,1.911304939464061903e+01
6.400000000000000000e+01,1.858174514764817076e+01
6.500000000000000000e+01,1.806172335008641383e+01
6.600000000000000000e+01,1.763246476513532102e+01
6.700000000000000000e+01,1.714937056501249302e+01
6.800000000000000000e+01,1.678782634823788555e+01
6.900000000000000000e+01,1.616939765933360817e+01
7.000000000000000000e+01,1.568235750646511484e+01
7.100000000000000000e+01,1.534181594512956259e+01
7.200000000000000000e+01,1.503257063357098033e+01
7.300000000000000000e+01,1.466962502444226679e+01
7.400000000000000000e+01,1.417531102025566447e+01
7.500000000000000000e+01,1.374262519295195162e+01
7.600000000000000000e+01,1.343627773630536915e+01
7.700000000000000000e+01,1.306824359929535717e+01
7.800000000000000000e+01,1.262290781590231603e+01
7.900000000000000000e+01,1.231804355664839079e+01
8.000000000000000000e+01,1.200379461452914320e+01
8.100000000000000000e+01,1.165986649296612221e+01
8.200000000000000000e+01,1.117293128077936970e+01
8.300000000000000000e+01,1.090534643940940640e+01
8.400000000000000000e+01,1.072076582160080704e+01
8.500000000000000000e+01,1.040423723790799926e+01
8.600000000000000000e+01,1.000891893590899784e+01
8.700000000000000000e+01,9.597321224052480559e+00
8.800000000000000000e+01,9.407347709780241374e+00
8.900000000000000000e+01,9.100701506749194536e+00
9.000000000000000000e+01,8.786076255137864166e+00
9.100000000000000000e+01,8.455546282477193643e+00
9.200000000000000000e+01,8.118863277906909204e+00
9.300000000000000000e+01,7.995881546760827518e+00
9.400000000000000000e+01,7.603772921931481577e+00
9.500000000000000000e+01,7.356914792267774672e+00
9.600000000000000000e+01,7.064464670758572318e+00
9.700000000000000000e+01,6.832967439140937849e+00
9.800000000000000000e+01,6.539766719308955700e+00
9.900000000000000000e+01,6.224848502396314487e+00
1.000000000000000000e+02,5.903574680960847587e+00
1.010000000000000000e+02,5.761251041008231155e+00
1.020000000000000000e+02,5.497661058835438652e+00
1.030000000000000000e+02,5.201352436726102368e+00
1.040000000000000000e+02,5.041143266851639382e+00
1.050000000000000000e+02,4.759102013081573546e+00
1.060000000000000000e+02,4.653795855639728529e+00
1.070000000000000000e+02,4.360742638590493492e+00
1.080000000000000000e+02,4.101194807964012590e+00
1.090000000000000000e+02,3.750921177211907320e+00
1.100000000000000000e+02,3.636358805190467613e+00
1.110000000000000000e+02,3.308284261918307934e+00
1.120000000000000000e+02,3.188762614687460140e+00
1.130000000000000000e+02,3.079459999761667177e+00
1.140000000000000000e+02,2.718703316397080627e+00
1.150000000000000000e+02,2.550955863603542539e+00
1.160000000000000000e+02,2.406331173776796728e+00
1.170000000000000000e+02,2.003839436715985745e+00
1.180000000000000000e+02,1.893553060244716146e+00
1.190000000000000000e+02,1.634170936900847249e+00
1.200000000000000000e+02,1.550867216177271635e+00
1.210000000000000000e+02,1.307115958305855363e+00
1.220000000000000000e+02,9.894517151771440311e-01
1.230000000000000000e+02,8.447208975085767069e-01
1.240000000000000000e+02,6.011299225510222666e-01
1.250000000000000000e+02,4.644103584141847096e-01
1.260000000000000000e+02,2.204941515922517192e-01
1.270000000000000000e+02,1.095979319274334590e-01
1.280000000000000000e+02,-4.879143801278847808e-02
1.290000000000000000e+02,-2.754309646864306349e-01
1.300000000000000000e+02,-3.461643428034941183e-01
1.310000000000000000e+02,-6.903009675978272197e-01
1.320000000000000000e+02,-7.742061730148976917e-01
1.330000000000000000e+02,-9.944828418953202132e-01
1.340000000000000000e+02,-1.197733235085408632e+00
1.350000000000000000e+02,-1.425803228043956095e+00
1.360000000000000000e+02,-1.478588311128116839e+00
1.370000000000000000e+02,-1.715005149164021692e+00
1.380000000000000000e+02,-1.845414740555494149e+00
1.390000000000000000e+02,-2.005144226537392438e+00
1.400000000000000000e+02,-2.153825647669121768e+00
1.410000000000000000e+02,-2.358237124943664220e+00
1.420000000000000000e+02,-2.420347953938545960e+00
1.430000000000000000e+02,-2.570861449532177101e+00
1.440000000000000000e+02,-2.795066141270204696e+00
1.450000000000000000e+02,-3.077900629859004589e+00
1.460000000000000000e+02,-3.120020714028064468e+00
1.470000000000000000e+02,-3.275711358342042967e+00
1.480000000000000000e+02,-3.451153060424747121e+00
1.490000000000000000e+02,-3.555873655488519525e+00
1.500000000000000000e+02,-3.657971334289139342e+00
1.510000000000000000e+02,-3.789602510888012254e+00
1.520000000000000000e+02,-4.041640731586832125e+00
1.530000000000000000e+02,-4.117864471631319745e+00
1.540000000000000000e+02,-4.270027625419461792e+00
1.550000000000000000e+02,-4.463527379317801191e+00
1.560000000000000000e+02,-4.589785990037751340e+00
1.570000000000000000e+02,-4.600372807973911016e+00
1.580000000000000000e+02,-4.781700148769820302e+00
1.590000000000000000e+02,-4.937624279984274445e+00
1.600000000000000000e+02,-5.075318904782067264e+00
1.610000000000000000e+02,-5.266554468867052918e+00
1.620000000000000000e+02,-5.433525754126804941e+00
1.630000000000000000e+02,-5.512931392838664735e+00
1.640000000000000000e+02,-5.603268777138206147e+00
1.650000000000000000e+02,-5.627127882379953761e+00
1.660000000000000000e+02,-5.891764169462765821e+00
1.670000000000000000e+02,-6.073773773921448793e+00
1.680000000000000000e+02,-6.178874332365693611e+00
1.690000000000000000e+02,-6.176114019293351021e+00
1.700000000000000000e+02,-6.367054650354332601e+00
1.710000000000000000e+02,-6.571762386170185266e+00
1.720000000000000000e+02,-6.633091205095700715e+00
1.730000000000000000e+02,-6.627424223510750778e+00
1.740000000000000000e+02,-6.757992773107232232e+00
1.750000000000000000e+02,-6.832257983645020794e+00
1.760000000000000000e+02,-6.973435493336219260e+00
1.770000000000000000e+02,-7.213931752079288273e+00
1.780000000000000000e+02,-7.336345516320754712e+00
1.790000000000000000e+02,-7.457303866062807707e+00
1.800000000000000000e+02,-7.589780310214485404e+00
1.810000000000000000e+02,-7.725849464471271411e+00
1.820000000000000000e+02,-7.910950853051949672e+00
1.830000000000000000e+02,-7.870636367072292749e+00
1.840000000000000000e+02,-8.067403792434994614e+00
1.850000000000000000e+02,-8.146319844507964092e+00
1.860000000000000000e+02,-8.205484277589864206e+00
1.870000000000000000e+02,-8.313386519505845840e+00
1.880000000000000000e+02,-8.366380895892277181e+00
1.890000000000000000e+02,-8.452208150982665202e+00
